Date,Product_ID,Product_Name,Category,Units_Sold,Unit_Price,Revenue,Discount_Applied,Net_Revenue,Location,Sales_Channel,Promotion_Flag,Promotion_Type,Festival_Flag,Stockout_Flag,Restocked_Units,Spoilage_Units,Day_of_Week,Week_Number,Month,Temperature,Festival_Name
2024-06-01,MILK500ML,Toned Milk 500ml,Milk,329,25,8225,10%,7402.5,Surat,Retail,1,Discount,0,1,200,5,Saturday,22,June,37.0,
2024-06-01,CURD200G,Fresh Curd 200g,Curd,299,20,5980,0%,5980.0,Rajkot,Retail,0,None,0,0,248,5,Saturday,22,June,37.0,
2024-06-01,GHEE1L,Desi Ghee 1L,Ghee,303,450,136350,0%,136350.0,Vadodara,Online,0,None,0,0,310,5,Saturday,22,June,37.0,
2024-06-01,PANEER250G,Paneer 250g,Paneer,274,90,24660,5%,23427.0,Rajkot,Retail,1,Discount,0,0,303,3,Saturday,22,June,37.0,
2024-06-01,CHOC100G,Milk Chocolate 100g,Chocolate,270,40,10800,5%,10260.0,Ahmedabad,Retail,1,Discount,0,0,217,1,Saturday,22,June,37.0,
2024-06-01,LASSI200ML,Sweet Lassi 200ml,Beverage,164,20,3280,5%,3116.0,Rajkot,Online,1,Discount,0,0,293,7,Saturday,22,June,37.0,
2024-06-01,FLAVMILK200,Flavored Milk 200ml,Beverage,325,30,9750,5%,9262.5,Rajkot,Retail,1,Discount,0,1,398,7,Saturday,22,June,37.0,
2024-06-01,ICECREAM500,Ice Cream 500ml,Dessert,353,80,28240,0%,28240.0,Ahmedabad,Online,0,None,0,0,281,6,Saturday,22,June,37.0,
2024-06-01,BUTTER250G,Salted Butter 250g,Butter,346,120,41520,10%,37368.0,Surat,Online,1,Discount,0,1,333,8,Saturday,22,June,37.0,
2024-06-01,SHRIKHAND250,Shrikhand 250g,Dessert,321,60,19260,0%,19260.0,Rajkot,Online,0,None,0,0,312,5,Saturday,22,June,37.0,
2024-06-02,MILK500ML,Toned Milk 500ml,Milk,281,25,7025,10%,6322.5,Rajkot,Distributor,1,Discount,0,0,339,3,Sunday,22,June,40.8,
2024-06-02,CURD200G,Fresh Curd 200g,Curd,279,20,5580,5%,5301.0,Ahmedabad,Distributor,1,Discount,0,0,209,2,Sunday,22,June,40.8,
2024-06-02,GHEE1L,Desi Ghee 1L,Ghee,308,450,138600,5%,131670.0,Vadodara,Online,1,Discount,0,0,326,2,Sunday,22,June,40.8,
2024-06-02,PANEER250G,Paneer 250g,Paneer,296,90,26640,10%,23976.0,Vadodara,Retail,1,Discount,0,0,290,2,Sunday,22,June,40.8,
2024-06-02,CHOC100G,Milk Chocolate 100g,Chocolate,190,40,7600,10%,6840.0,Rajkot,Distributor,1,Discount,0,0,300,7,Sunday,22,June,40.8,
2024-06-02,LASSI200ML,Sweet Lassi 200ml,Beverage,291,20,5820,0%,5820.0,Ahmedabad,Online,0,None,0,0,354,7,Sunday,22,June,40.8,
2024-06-02,FLAVMILK200,Flavored Milk 200ml,Beverage,296,30,8880,10%,7992.0,Vadodara,Distributor,1,Discount,0,0,375,2,Sunday,22,June,40.8,
2024-06-02,ICECREAM500,Ice Cream 500ml,Dessert,353,80,28240,10%,25416.0,Ahmedabad,Online,1,Discount,0,0,260,6,Sunday,22,June,40.8,
2024-06-02,BUTTER250G,Salted Butter 250g,Butter,307,120,36840,10%,33156.0,Rajkot,Distributor,1,Discount,0,0,286,0,Sunday,22,June,40.8,
2024-06-02,SHRIKHAND250,Shrikhand 250g,Dessert,350,60,21000,5%,19950.0,Surat,Online,1,Discount,0,0,235,8,Sunday,22,June,40.8,
2024-06-03,MILK500ML,Toned Milk 500ml,Milk,271,25,6775,0%,6775.0,Surat,Retail,0,None,0,0,366,8,Monday,23,June,38.6,
2024-06-03,CURD200G,Fresh Curd 200g,Curd,298,20,5960,5%,5662.0,Surat,Distributor,1,Discount,0,0,348,7,Monday,23,June,38.6,
2024-06-03,GHEE1L,Desi Ghee 1L,Ghee,258,450,116100,5%,110295.0,Vadodara,Online,1,Discount,0,0,322,4,Monday,23,June,38.6,
2024-06-03,PANEER250G,Paneer 250g,Paneer,238,90,21420,10%,19278.0,Rajkot,Retail,1,Discount,0,0,260,3,Monday,23,June,38.6,
2024-06-03,CHOC100G,Milk Chocolate 100g,Chocolate,356,40,14240,0%,14240.0,Surat,Retail,0,None,0,1,370,5,Monday,23,June,38.6,
2024-06-03,LASSI200ML,Sweet Lassi 200ml,Beverage,296,20,5920,10%,5328.0,Ahmedabad,Distributor,1,Discount,0,0,385,5,Monday,23,June,38.6,
2024-06-03,FLAVMILK200,Flavored Milk 200ml,Beverage,240,30,7200,10%,6480.0,Ahmedabad,Online,1,Discount,0,0,297,5,Monday,23,June,38.6,
2024-06-03,ICECREAM500,Ice Cream 500ml,Dessert,402,80,32160,0%,32160.0,Ahmedabad,Distributor,0,None,0,1,253,5,Monday,23,June,38.6,
2024-06-03,BUTTER250G,Salted Butter 250g,Butter,255,120,30600,5%,29070.0,Rajkot,Distributor,1,Discount,0,0,342,5,Monday,23,June,38.6,
2024-06-03,SHRIKHAND250,Shrikhand 250g,Dessert,353,60,21180,0%,21180.0,Rajkot,Distributor,0,None,0,0,215,1,Monday,23,June,38.6,
2024-06-04,MILK500ML,Toned Milk 500ml,Milk,313,25,7825,0%,7825.0,Rajkot,Distributor,0,None,0,1,300,3,Tuesday,23,June,35.9,
2024-06-04,CURD200G,Fresh Curd 200g,Curd,269,20,5380,5%,5111.0,Rajkot,Distributor,1,Discount,0,0,303,5,Tuesday,23,June,35.9,
2024-06-04,GHEE1L,Desi Ghee 1L,Ghee,355,450,159750,0%,159750.0,Ahmedabad,Online,0,None,0,1,352,8,Tuesday,23,June,35.9,
2024-06-04,PANEER250G,Paneer 250g,Paneer,144,90,12960,10%,11664.0,Surat,Distributor,1,Discount,0,0,249,5,Tuesday,23,June,35.9,
2024-06-04,CHOC100G,Milk Chocolate 100g,Chocolate,177,40,7080,10%,6372.0,Surat,Retail,1,Discount,0,0,302,7,Tuesday,23,June,35.9,
2024-06-04,LASSI200ML,Sweet Lassi 200ml,Beverage,308,20,6160,0%,6160.0,Rajkot,Online,0,None,0,0,254,2,Tuesday,23,June,35.9,
2024-06-04,FLAVMILK200,Flavored Milk 200ml,Beverage,316,30,9480,0%,9480.0,Ahmedabad,Online,0,None,0,1,388,5,Tuesday,23,June,35.9,
2024-06-04,ICECREAM500,Ice Cream 500ml,Dessert,325,80,26000,0%,26000.0,Vadodara,Distributor,0,None,0,0,275,3,Tuesday,23,June,35.9,
2024-06-04,BUTTER250G,Salted Butter 250g,Butter,283,120,33960,10%,30564.0,Vadodara,Distributor,1,Discount,0,0,351,6,Tuesday,23,June,35.9,
2024-06-04,SHRIKHAND250,Shrikhand 250g,Dessert,317,60,19020,0%,19020.0,Rajkot,Online,0,None,0,0,396,3,Tuesday,23,June,35.9,
2024-06-05,MILK500ML,Toned Milk 500ml,Milk,219,25,5475,10%,4927.5,Ahmedabad,Online,1,Discount,0,0,219,8,Wednesday,23,June,37.9,
2024-06-05,CURD200G,Fresh Curd 200g,Curd,336,20,6720,0%,6720.0,Rajkot,Retail,0,None,0,1,366,6,Wednesday,23,June,37.9,
2024-06-05,GHEE1L,Desi Ghee 1L,Ghee,278,450,125100,0%,125100.0,Surat,Online,0,None,0,0,338,6,Wednesday,23,June,37.9,
