ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-06-01,288.72407599999997,271.17591115535305,306.9458534668646,288.72407599999997,288.72407599999997,0.26723722464240146,0.26723722464240146,0.26723722464240146,0.26723722464240146,0.26723722464240146,0.26723722464240146,0.0,0.0,0.0,288.9913132246424
2024-06-02,288.60480984835164,271.22266570215834,307.7783064643662,288.60480984835164,288.60480984835164,0.9109909318575905,0.9109909318575905,0.9109909318575905,0.9109909318575905,0.9109909318575905,0.9109909318575905,0.0,0.0,0.0,289.51580078020925
2024-06-03,288.4855436967033,270.11038502182095,307.3590224119359,288.4855436967033,288.4855436967033,0.47844632876108023,0.47844632876108023,0.47844632876108023,0.47844632876108023,0.47844632876108023,0.47844632876108023,0.0,0.0,0.0,288.9639900254644
2024-06-04,288.3662775450549,269.6434441620563,306.5228791619045,288.3662775450549,288.3662775450549,0.3776443219647146,0.3776443219647146,0.3776443219647146,0.3776443219647146,0.3776443219647146,0.3776443219647146,0.0,0.0,0.0,288.74392186701965
2024-06-05,288.2470114147013,269.9168547717742,307.0240004765818,288.2470114147013,288.2470114147013,0.1766252459997084,0.1766252459997084,0.1766252459997084,0.1766252459997084,0.1766252459997084,0.1766252459997084,0.0,0.0,0.0,288.42363666070105
2024-06-06,288.1277452843477,268.5839002343297,304.83354291690813,288.1277452843477,288.1277452843477,-0.596990350637862,-0.596990350637862,-0.596990350637862,-0.596990350637862,-0.596990350637862,-0.596990350637862,0.0,0.0,0.0,287.5307549337099
2024-06-07,288.0084791539941,267.3826465694131,304.4076957505193,288.0084791539941,288.0084791539941,-1.613953702583093,-1.613953702583093,-1.613953702583093,-1.613953702583093,-1.613953702583093,-1.613953702583093,0.0,0.0,0.0,286.39452545141097
2024-06-08,287.8892130217158,269.24888231441605,305.69568246051745,287.8892130217158,287.8892130217158,0.26723722464440575,0.26723722464440575,0.26723722464440575,0.26723722464440575,0.26723722464440575,0.26723722464440575,0.0,0.0,0.0,288.15645024636024
2024-06-09,287.76994688943756,270.1378718752965,306.3798739630509,287.76994688943756,287.76994688943756,0.9109909318564329,0.9109909318564329,0.9109909318564329,0.9109909318564329,0.9109909318564329,0.9109909318564329,0.0,0.0,0.0,288.680937821294
2024-06-10,287.65068075715925,269.25545604668343,307.3934499505878,287.65068075715925,287.65068075715925,0.47844632876019316,0.47844632876019316,0.47844632876019316,0.47844632876019316,0.47844632876019316,0.47844632876019316,0.0,0.0,0.0,288.12912708591944
2024-06-11,287.5314204427601,269.8057783885062,306.17346666542255,287.5314204427601,287.5314204427601,0.37764432196366765,0.37764432196366765,0.37764432196366765,0.37764432196366765,0.37764432196366765,0.37764432196366765,0.0,0.0,0.0,287.9090647647238
2024-06-12,287.41216012836094,268.39929812316103,304.64219939321805,287.41216012836094,287.41216012836094,0.17662524600126828,0.17662524600126828,0.17662524600126828,0.17662524600126828,0.17662524600126828,0.17662524600126828,0.0,0.0,0.0,287.5887853743622
2024-06-13,287.2928998139618,268.38713830442265,305.94986932478156,287.2928998139618,287.2928998139618,-0.5969903506387524,-0.5969903506387524,-0.5969903506387524,-0.5969903506387524,-0.5969903506387524,-0.5969903506387524,0.0,0.0,0.0,286.69590946332306
2024-06-14,287.1736395051863,266.91286770837655,303.0949867947173,287.1736395051863,287.1736395051863,-1.6139537025828161,-1.6139537025828161,-1.6139537025828161,-1.6139537025828161,-1.6139537025828161,-1.6139537025828161,0.0,0.0,0.0,285.5596858026035
2024-06-15,287.05437919641076,271.11123563239755,306.1591847873233,287.05437919641076,287.05437919641076,0.26723722464453614,0.26723722464453614,0.26723722464453614,0.26723722464453614,0.26723722464453614,0.26723722464453614,0.0,0.0,0.0,287.3216164210553
2024-06-16,286.93524174450334,270.22329194898066,304.59411879727804,286.93524174450334,286.93524174450334,0.9109909318582321,0.9109909318582321,0.9109909318582321,0.9109909318582321,0.9109909318582321,0.9109909318582321,0.0,0.0,0.0,287.8462326763616
2024-06-17,286.81610429259587,269.31754409303375,304.97280685844237,286.81610429259587,286.81610429259587,0.4784463287593064,0.4784463287593064,0.4784463287593064,0.4784463287593064,0.4784463287593064,0.4784463287593064,0.0,0.0,0.0,287.2945506213552
2024-06-18,286.6969668406885,268.4730734913109,304.8846843237774,286.6969668406885,286.6969668406885,0.3776443219630704,0.3776443219630704,0.3776443219630704,0.3776443219630704,0.3776443219630704,0.3776443219630704,0.0,0.0,0.0,287.0746111626516
2024-06-19,286.5780640207723,266.9159834433626,305.6747839956938,286.5780640207723,286.5780640207723,0.17662524600058363,0.17662524600058363,0.17662524600058363,0.17662524600058363,0.17662524600058363,0.17662524600058363,0.0,0.0,0.0,286.75468926677286
